DALLAS MAVERICKS Media Delivery,,SYNC COMPLETE,NO ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,06_CantStopTheFeeling,060_CantStopTheFeeling_AUDIO_v01.mov,1,,1,034,060,024,AUDIO,1m1.9s,,-,,,All of these are fun for back of timeouts. ,,034_DAL_VIDEO,06_CantStopTheFeeling,\034_DAL_VIDEO\06_CantStopTheFeeling\060_CantStopTheFeeling_AUDIO_v01.mov,-,nclc,nclc,61962,76287,16,16,1.000,CFR,29.970,12847944,PCM,Little / Signed,sowt,61962,2,L R,48000,16
,,068_CantStopTheFeeling_SCB_v01.mov,1,,1,034,068,017,SCB,1m1.9s,,-,,,Use for first 3 quarters ,,034_DAL_VIDEO,06_CantStopTheFeeling,\034_DAL_VIDEO\06_CantStopTheFeeling\068_CantStopTheFeeling_SCB_v01.mov,-,nclc,nclc,61962,447564384,1920,1080,1.778,CFR,29.970,3478752999,PCM,Little / Signed,sowt,61962,2,L R,48000,16
,07_DelPool,070_DelPool_AUDIO_v01.mov,1,,1,034,070,024,AUDIO,56s,,-,,,,,034_DAL_VIDEO,07_DelPool,\034_DAL_VIDEO\07_DelPool\070_DelPool_AUDIO_v01.mov,-,nclc,nclc,56056,67939,16,16,1.000,CFR,29.970,12015178,PCM,Little / Signed,sowt,56056,2,L R,48000,16
,,078_DelPool_SCB_v01.mov,1,,1,034,078,017,SCB,56s,,-,,,,,034_DAL_VIDEO,07_DelPool,\034_DAL_VIDEO\07_DelPool\078_DelPool_SCB_v01.mov,-,nclc,nclc,56056,376920031,1920,1080,1.778,CFR,29.970,2652620430,PCM,Little / Signed,sowt,56056,2,L R,48000,16
,08_EuroStepBrothers,080_EuroStepBrothers_AUDIO_v01.mov,1,,1,034,080,024,AUDIO,1m10.5s,,-,,,,,034_DAL_VIDEO,08_EuroStepBrothers,\034_DAL_VIDEO\08_EuroStepBrothers\080_EuroStepBrothers_AUDIO_v01.mov,-,nclc,nclc,70571,64733,16,16,1.000,CFR,29.970,14481695,PCM,Little / Signed,sowt,70571,2,L R,48000,16
,,088_EuroStepBrothers_SCB_v01.mov,1,,1,034,088,017,SCB,1m10.5s,,-,,,,,034_DAL_VIDEO,08_EuroStepBrothers,\034_DAL_VIDEO\08_EuroStepBrothers\088_EuroStepBrothers_SCB_v01.mov,-,nclc,nclc,70571,363892758,1920,1080,1.778,CFR,29.970,3223925603,PCM,Little / Signed,sowt,70571,2,L R,48000,16
,09_Footloose,090_Footloose_AUDIO_v01.mov,1,,1,034,090,024,AUDIO,1m6.2s,,-,,,,,034_DAL_VIDEO,09_Footloose,\034_DAL_VIDEO\09_Footloose\090_Footloose_AUDIO_v01.mov,-,nclc,nclc,66267,76557,16,16,1.000,CFR,29.970,13706075,PCM,Little / Signed,sowt,66267,2,L R,48000,16
,,098_Footloose_SCB_v01.mov,1,,1,034,098,017,SCB,1m6.2s,,-,,,,,034_DAL_VIDEO,09_Footloose,\034_DAL_VIDEO\09_Footloose\098_Footloose_SCB_v01.mov,-,nclc,nclc,66267,438841665,1920,1080,1.778,CFR,29.970,3648121763,PCM,Little / Signed,sowt,66267,2,L R,48000,16
,10_GameNightFever,100_GameNightFever_AUDIO_v01.mov,1,,1,034,100,024,AUDIO,53.53s,,-,,,,,034_DAL_VIDEO,10_GameNightFever,\034_DAL_VIDEO\10_GameNightFever\100_GameNightFever_AUDIO_v01.mov,-,nclc,nclc,53587,75722,16,16,1.000,CFR,29.970,10980141,PCM,Little / Signed,sowt,53587,2,L R,48000,16
,,108_GameNightFever_SCB_v01.mov,1,,1,034,108,017,SCB,53.53s,,-,,,,,034_DAL_VIDEO,10_GameNightFever,\034_DAL_VIDEO\10_GameNightFever\108_GameNightFever_SCB_v01.mov,-,nclc,nclc,53587,402463429,1920,1080,1.778,CFR,29.970,2706319886,PCM,Little / Signed,sowt,53587,2,L R,48000,16
,11_JuanWick,110_JuanWick_AUDIO_v01.mov,1,,1,034,110,024,AUDIO,1m2.03s,,-,,,,,034_DAL_VIDEO,11_JuanWick,\034_DAL_VIDEO\11_JuanWick\110_JuanWick_AUDIO_v01.mov,-,nclc,nclc,62096,64026,16,16,1.000,CFR,29.970,12882012,PCM,Little / Signed,sowt,62096,2,L R,48000,16
,,118_JuanWick_SCB_v01.mov,1,,1,034,118,017,SCB,1m2.03s,,-,,,,,034_DAL_VIDEO,11_JuanWick,\034_DAL_VIDEO\11_JuanWick\118_JuanWick_SCB_v01.mov,-,nclc,nclc,62096,321512344,1920,1080,1.778,CFR,29.970,2507940906,PCM,Little / Signed,sowt,62096,2,L R,48000,16
,12_Mavalorian,120_Mavalorian_AUDIO_v01.mov,1,,1,034,120,024,AUDIO,1m11.67s,,-,,,,,034_DAL_VIDEO,12_Mavalorian,\034_DAL_VIDEO\12_Mavalorian\120_Mavalorian_AUDIO_v01.mov,-,nclc,nclc,71739,65837,16,16,1.000,CFR,29.970,15007185,PCM,Little / Signed,sowt,71739,2,L R,48000,16
,,128_Mavalorian_SCB_v01.mov,1,,1,034,128,017,SCB,1m11.67s,,-,,,,,034_DAL_VIDEO,12_Mavalorian,\034_DAL_VIDEO\12_Mavalorian\128_Mavalorian_SCB_v01.mov,-,nclc,nclc,71739,285232391,1920,1080,1.778,CFR,29.970,2572181408,PCM,Little / Signed,sowt,71739,2,L R,48000,16
,13_THJCreed,130_THJCreed_AUDIO_v01.mov,1,,1,034,130,024,AUDIO,58.17s,,-,,,,,034_DAL_VIDEO,13_THJCreed,\034_DAL_VIDEO\13_THJCreed\130_THJCreed_AUDIO_v01.mov,-,nclc,nclc,58225,60909,16,16,1.000,CFR,29.970,11986284,PCM,Little / Signed,sowt,58225,2,L R,48000,16
,,138_THJCreed_SCB_v01.mov,1,,1,034,138,017,SCB,58.17s,,-,,,,,034_DAL_VIDEO,13_THJCreed,\034_DAL_VIDEO\13_THJCreed\138_THJCreed_SCB_v01.mov,-,nclc,nclc,58225,250303710,1920,1080,1.778,CFR,29.970,1833281276,PCM,Little / Signed,sowt,58225,2,L R,48000,16
,14_TopGunMaverick,140_TopGunMaverick_AUDIO_v01.mov,1,,1,034,140,024,AUDIO,1m13.6s,,-,,,,,034_DAL_VIDEO,14_TopGunMaverick,\034_DAL_VIDEO\14_TopGunMaverick\140_TopGunMaverick_AUDIO_v01.mov,-,nclc,nclc,73674,59327,16,16,1.000,CFR,29.970,15224690,PCM,Little / Signed,sowt,73674,2,L R,48000,16
,,148_TopGunMaverick_SCB_v01.mov,1,,1,034,148,017,SCB,1m13.6s,,-,,,,,034_DAL_VIDEO,14_TopGunMaverick,\034_DAL_VIDEO\14_TopGunMaverick\148_TopGunMaverick_SCB_v01.mov,-,nclc,nclc,73674,238603244,1920,1080,1.778,CFR,29.970,2212025528,PCM,Little / Signed,sowt,73674,2,L R,48000,16
