PHOENIX SUNS Media Delivery,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Content Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,061_FTEye_AUD_F_v01.mov,1,,1,161,061,001,AUD_F,6.03s,,-,,,,,161_PHX_FERA,06_FTEye,\161_PHX_FERA\06_FTEye\061_FTEye_AUD_F_v01.mov,-,nclc,nclc,6040,2359171957,10160,1600,6.350,CFR,29.970,1782409235,PCM,Little / Signed,sowt,6040,2,L R,48000,16
,07_FTHands,070_FTHands_AUDIO_v01.mov,1,,1,161,070,024,AUDIO,6.03s,,-,,,,,161_PHX_FERA,07_FTHands,\161_PHX_FERA\07_FTHands\070_FTHands_AUDIO_v01.mov,-,nclc,nclc,6040,56393,16,16,1.000,CFR,29.970,1464106,PCM,Little / Signed,sowt,6040,2,L R,48000,16
,,071_FTHands_AUD_F_v01.mov,1,,1,161,071,001,AUD_F,6.03s,,-,,,,,161_PHX_FERA,07_FTHands,\161_PHX_FERA\07_FTHands\071_FTHands_AUD_F_v01.mov,-,nclc,nclc,6040,2374024661,10160,1600,6.350,CFR,29.970,1793624002,PCM,Little / Signed,sowt,6040,2,L R,48000,16
,08_FTHold,080_FTHold_AUDIO_v01.mov,1,,1,161,080,024,AUDIO,6.03s,,-,,,,,161_PHX_FERA,08_FTHold,\161_PHX_FERA\08_FTHold\080_FTHold_AUDIO_v01.mov,-,nclc,nclc,6040,56831,16,16,1.000,CFR,29.970,1466025,PCM,Little / Signed,sowt,6040,2,L R,48000,16
,,081_FTHold_AUD_F_v01.mov,1,,1,161,081,001,AUD_F,6.03s,,-,,,,,161_PHX_FERA,08_FTHold,\161_PHX_FERA\08_FTHold\081_FTHold_AUD_F_v01.mov,-,nclc,nclc,6040,2501295191,10160,1600,6.350,CFR,29.970,1889704860,PCM,Little / Signed,sowt,6040,2,L R,48000,16
,09_FTMiss,090_FTMiss_AUDIO_v01.mov,1,,1,161,090,024,AUDIO,6.03s,,-,,,,,161_PHX_FERA,09_FTMiss,\161_PHX_FERA\09_FTMiss\090_FTMiss_AUDIO_v01.mov,-,nclc,nclc,6040,57055,16,16,1.000,CFR,29.970,1468742,PCM,Little / Signed,sowt,6040,2,L R,48000,16
,,091_FTMiss_AUD_F_v01.mov,1,,1,161,091,001,AUD_F,6.03s,,-,,,,,161_PHX_FERA,09_FTMiss,\161_PHX_FERA\09_FTMiss\091_FTMiss_AUD_F_v01.mov,-,nclc,nclc,6040,2071637062,10160,1600,6.350,CFR,29.970,1565349193,PCM,Little / Signed,sowt,6040,2,L R,48000,16
,10_Win,100_Win_AUDIO_v01.mov,1,,1,161,100,024,AUDIO,6.03s,,-,,,,,161_PHX_FERA,10_Win,\161_PHX_FERA\10_Win\100_Win_AUDIO_v01.mov,-,nclc,nclc,6040,56467,16,16,1.000,CFR,29.970,1475434,PCM,Little / Signed,sowt,6040,2,L R,48000,16
,,101_Win_AUD_F_v01.mov,1,,1,161,101,001,AUD_F,6.03s,,-,,,,,161_PHX_FERA,10_Win,\161_PHX_FERA\10_Win\101_Win_AUD_F_v01.mov,-,nclc,nclc,6040,2400454118,10160,1600,6.350,CFR,29.970,1813587441,PCM,Little / Signed,sowt,6040,2,L R,48000,16
,11_Upset,110_Upset_AUDIO_v01.mov,1,,1,161,110,024,AUDIO,6.03s,,-,,,,,161_PHX_FERA,11_Upset,\161_PHX_FERA\11_Upset\110_Upset_AUDIO_v01.mov,-,nclc,nclc,6040,55500,16,16,1.000,CFR,29.970,1477390,PCM,Little / Signed,sowt,6040,2,L R,48000,16
