NBA GENERIC Media Delivery,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Loop Out Frame,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,108_FlagCanada_SCB_v01.mov,1,,1,230,108,017,SCB,10s,,-,,,,,230_NBA_PROMPTS,10_CanadaFlag,\230_NBA_PROMPTS\10_CanadaFlag\108_FlagCanada_SCB_v01.mov,-,nclc,nclc,"10,010","268,637,427",1920,1080,1.778,CFR,29.970,336135993,-,-,-,-,-,-,-,-
231_NBA_VIDEO,,,,,,,,,,,,-,,,,,231_NBA_VIDEO,10_CanadaFlag,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
232_NBA_NBAINST,00_Logoman,001_Logoman_AUD_F_v01.mov,1,,1,232,001,001,AUD_F,10s,,-,,,,,232_NBA_NBAINST,00_Logoman,\232_NBA_NBAINST\00_Logoman\001_Logoman_AUD_F_v01.mov,-,nclc,nclc,"10,010","410,595,402",10160,1600,6.350,CFR,29.970,513761086,-,-,-,-,-,-,-,-
,,004_Logoman_RIB_F_v03.mov,3,,2,232,004,010,RIB_F,10s,,-,,,,7/23/2020 7:35:48,232_NBA_NBAINST,00_Logoman,\232_NBA_NBAINST\00_Logoman\004_Logoman_RIB_F_v03.mov,-,nclc,nclc,10010,48546707,9504,144,66.000,CFR,29.970,60746584,-,-,-,-,-,-,-,-
,,007_Logoman_CRN_v05.mov,5,,4,232,007,014,CRN,10s,,-,,,,7/23/2020 7:35:55,232_NBA_NBAINST,00_Logoman,\232_NBA_NBAINST\00_Logoman\007_Logoman_CRN_v05.mov,-,nclc,nclc,10010,20473428,3328,208,16.000,CFR,29.970,25619587,-,-,-,-,-,-,-,-
,,008_Logoman_SCB_v01.mov,1,,1,232,008,017,SCB,10s,,-,,,,,232_NBA_NBAINST,00_Logoman,\232_NBA_NBAINST\00_Logoman\008_Logoman_SCB_v01.mov,-,nclc,nclc,"10,010","66,560,742",1920,1080,1.778,CFR,29.970,83286720,-,-,-,-,-,-,-,-
,01_WholeNewGame,011_WholeNewGame_AUD_F_v02.mov,2,,2,232,011,001,AUD_F,10s,,-,,,,7/21/2020 7:22:01,232_NBA_NBAINST,01_WholeNewGame,\232_NBA_NBAINST\01_WholeNewGame\011_WholeNewGame_AUD_F_v02.mov,-,nclc,nclc,"10,010","362,022,174",10160,1600,6.350,CFR,29.970,452983774,-,-,-,-,-,-,-,-
,,014_WholeNewGame_RIB_F_v06.mov,6,,5,232,014,010,RIB_F,10s,,-,,,,7/23/2020 7:37:07,232_NBA_NBAINST,01_WholeNewGame,\232_NBA_NBAINST\01_WholeNewGame\014_WholeNewGame_RIB_F_v06.mov,-,nclc,nclc,10010,58553712,9504,144,66.000,CFR,29.970,73267830,-,-,-,-,-,-,-,-
,,017_WholeNewGame_CRN_v06.mov,6,,6,232,017,014,CRN,10s,,-,,,,7/20/2020 14:47:45,232_NBA_NBAINST,01_WholeNewGame,\232_NBA_NBAINST\01_WholeNewGame\017_WholeNewGame_CRN_v06.mov,-,nclc,nclc,10010,35332963,3328,208,16.000,CFR,29.970,44212666,-,-,-,-,-,-,-,-
,,018_WholeNewGame_SCB_v01.mov,1,,1,232,018,017,SCB,10s,,-,,,,,232_NBA_NBAINST,01_WholeNewGame,\232_NBA_NBAINST\01_WholeNewGame\018_WholeNewGame_SCB_v01.mov,-,nclc,nclc,10010,66693070,1920,1080,1.778,CFR,29.970,83452291,-,-,-,-,-,-,-,-
,02_OfficialReview,024_Official_Review_RIB_F_v02.mov,2,,1,232,024,010,RIB_F,10s,,-,,,,7/23/2020 7:38:29,232_NBA_NBAINST,02_OfficialReview,\232_NBA_NBAINST\02_OfficialReview\024_Official_Review_RIB_F_v02.mov,-,nclc,nclc,10010,60735010,9504,144,66.000,CFR,29.970,75997217,-,-,-,-,-,-,-,-
,,028_Official_Review_SCB_v01.mov,1,,1,232,028,017,SCB,10s,,-,,,,7/20/2020 14:48:57,232_NBA_NBAINST,02_OfficialReview,\232_NBA_NBAINST\02_OfficialReview\028_Official_Review_SCB_v01.mov,-,nclc,nclc,10010,76315616,1920,1080,1.778,CFR,29.970,95492542,-,-,-,-,-,-,-,-
,03_CoachsChallenge,034_Coachs_Challenge_RIB_F_v02.mov,2,,1,232,034,010,RIB_F,10s,,-,,,,7/23/2020 7:37:39,232_NBA_NBAINST,03_CoachsChallenge,\232_NBA_NBAINST\03_CoachsChallenge\034_Coachs_Challenge_RIB_F_v02.mov,-,nclc,nclc,10010,63224853,9504,144,66.000,CFR,29.970,79112604,-,-,-,-,-,-,-,-
,,038_Coachs_Challenge_SCB_v01.mov,1,,1,232,038,017,SCB,10s,,-,,,,7/20/2020 14:48:57,232_NBA_NBAINST,03_CoachsChallenge,\232_NBA_NBAINST\03_CoachsChallenge\038_Coachs_Challenge_SCB_v01.mov,-,nclc,nclc,10010,79904462,1920,1080,1.778,CFR,29.970,99983162,-,-,-,-,-,-,-,-
,04_EvacuationGraphic1,048_Evacuation_Graphic1_ImmediateEvacuation_SCB_v01.mov,1,,,232,048,017,SCB,0.03s,,-,,,,7/20/2020 14:48:57,232_NBA_NBAINST,04_EvacuationGraphic1,\232_NBA_NBAINST\04_EvacuationGraphic1\048_Evacuation_Graphic1_ImmediateEvacuation_SCB_v01.mov,-,nclc,nclc,34,102124333,1920,1080,1.778,CFR,29.970,426624,-,-,-,-,-,-,-,-
