CONTENT TEAM Information  for NBA GENERIC Media Delivery,,SYNC COMPLETE,NO ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Loop Out Frame,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,127_TAP_TO_CHEER_CRN_v02.mov,2,,,240,127,014,CRN,10s,,-,,,,7/23/2020 8:23:38,240_NBA_TTC_1A,12_LAL_TOR,\240_NBA_TTC_1A\12_LAL_TOR\127_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
,13_WAS_BKN,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,13_WAS_BKN,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,13_WAS_BKN,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,14_POR_BOS,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,14_POR_BOS,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,14_POR_BOS,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,15_SAS_MEM,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,15_SAS_MEM,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,15_SAS_MEM,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,16_SAC_ORL,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,16_SAC_ORL,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,16_SAC_ORL,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,17_MIL_HOU,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,17_MIL_HOU,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
