BROOKLYN NETS Media Delivery,,SYNC COMPLETE,NO ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth,
,02_NetsvsMagicWhite,021_NetsvsMagicWhite_AUD_F_v01.mov,1,,1,012,021,001,AUD_F,30s,,-,,,,,012_BKN_Image_1,02_NetsvsMagicWhite,\012_BKN_Image_1\02_NetsvsMagicWhite\021_NetsvsMagicWhite_AUD_F_v01.mov,-,nclc,nclc,30030,1135106637,10160,1600,6.350,CFR,29.970,4260954591,-,-,-,-,-,-,-,-,
,,024_NetsvsMagicWhite_RIB_F_v01.mov,1,,1,012,024,010,RIB_F,30s,,-,,,,,012_BKN_Image_1,02_NetsvsMagicWhite,\012_BKN_Image_1\02_NetsvsMagicWhite\024_NetsvsMagicWhite_RIB_F_v01.mov,-,nclc,nclc,30030,74882650,9504,144,66.000,CFR,29.970,281134819,-,-,-,-,-,-,-,-,
,,028_NetsvsMagicWhite_SCB_v01.mov,1,,1,012,028,017,SCB,30s,,-,,,,,012_BKN_Image_1,02_NetsvsMagicWhite,\012_BKN_Image_1\02_NetsvsMagicWhite\028_NetsvsMagicWhite_SCB_v01.mov,-,nclc,nclc,30030,143364723,1920,1080,1.778,CFR,29.970,538199662,-,-,-,-,-,-,-,-,
,03_NetsvsMagicBlack,031_NetsvsMagicBlack_AUD_F_v01.mov,1,,1,012,031,001,AUD_F,30s,,-,,,,,012_BKN_Image_1,03_NetsvsMagicBlack,\012_BKN_Image_1\03_NetsvsMagicBlack\031_NetsvsMagicBlack_AUD_F_v01.mov,-,nclc,nclc,30030,968076127,10160,1600,6.350,CFR,29.970,3633963187,-,-,-,-,-,-,-,-,
,,034_NetsvsMagicBlack_RIB_F_v01.mov,1,,1,012,034,010,RIB_F,30s,,-,,,,,012_BKN_Image_1,03_NetsvsMagicBlack,\012_BKN_Image_1\03_NetsvsMagicBlack\034_NetsvsMagicBlack_RIB_F_v01.mov,-,nclc,nclc,30030,73204563,9504,144,66.000,CFR,29.970,274835693,-,-,-,-,-,-,-,-,
,,038_NetsvsMagicBlack_SCB_v01.mov,1,,1,012,038,017,SCB,30s,,-,,,,,012_BKN_Image_1,03_NetsvsMagicBlack,\012_BKN_Image_1\03_NetsvsMagicBlack\038_NetsvsMagicBlack_SCB_v01.mov,-,nclc,nclc,30030,131856303,1920,1080,1.778,CFR,29.970,494999867,-,-,-,-,-,-,-,-,
,04_NetsWinWhite,041_NetsWinWhite_AUD_F_v01.mov,1,,1,012,041,001,AUD_F,15s,,-,,,,,012_BKN_Image_1,04_NetsWinWhite,\012_BKN_Image_1\04_NetsWinWhite\041_NetsWinWhite_AUD_F_v01.mov,-,nclc,nclc,15015,892904770,10160,1600,6.350,CFR,29.970,1675905100,-,-,-,-,-,-,-,-,
,,044_NetsWinWhite_RIB_F_v01.mov,1,,1,012,044,010,RIB_F,15s,,-,,,,,012_BKN_Image_1,04_NetsWinWhite,\012_BKN_Image_1\04_NetsWinWhite\044_NetsWinWhite_RIB_F_v01.mov,-,nclc,nclc,15015,98653359,9504,144,66.000,CFR,29.970,185192991,-,-,-,-,-,-,-,-,
,,048_NetsWinWhite_SCB_v01.mov,1,,1,012,048,017,SCB,15s,,-,,,,,012_BKN_Image_1,04_NetsWinWhite,\012_BKN_Image_1\04_NetsWinWhite\048_NetsWinWhite_SCB_v01.mov,-,nclc,nclc,15015,210354559,1920,1080,1.778,CFR,29.970,394842394,-,-,-,-,-,-,-,-,
,05_NetsWinBlack,051_NetsWinBlack_AUD_F_v01.mov,1,,1,012,051,001,AUD_F,15s,,-,,,,,012_BKN_Image_1,05_NetsWinBlack,\012_BKN_Image_1\05_NetsWinBlack\051_NetsWinBlack_AUD_F_v01.mov,-,nclc,nclc,15015,756876247,10160,1600,6.350,CFR,29.970,1420596314,-,-,-,-,-,-,-,-,
,,054_NetsWinBlack_RIB_F_v01.mov,1,,1,012,054,010,RIB_F,15s,,-,,,,,012_BKN_Image_1,05_NetsWinBlack,\012_BKN_Image_1\05_NetsWinBlack\054_NetsWinBlack_RIB_F_v01.mov,-,nclc,nclc,15015,93086945,9504,144,66.000,CFR,29.970,174745521,-,-,-,-,-,-,-,-,
,,058_NetsWinBlack_SCB_v01.mov,1,,1,012,058,017,SCB,15s,,-,,,,,012_BKN_Image_1,05_NetsWinBlack,\012_BKN_Image_1\05_NetsWinBlack\058_NetsWinBlack_SCB_v01.mov,-,nclc,nclc,15015,152661720,1920,1080,1.778,CFR,29.970,286560043,-,-,-,-,-,-,-,-,
,06_NetsLogosStaticWhite,061_NetsLogosStaticWhite_AUD_F_v01.mov,1,,1,012,061,001,AUD_F,0.03s,,-,,,,,012_BKN_Image_1,06_NetsLogosStaticWhite,\012_BKN_Image_1\06_NetsLogosStaticWhite\061_NetsLogosStaticWhite_AUD_F_v01.mov,-,nclc,nclc,34,95728256,2540,400,6.350,CFR,29.970,418191,-,-,-,-,-,-,-,-,
,,064_NetsLogosStaticWhite_RIB_F_v01.mov,1,,1,012,064,010,RIB_F,0.03s,,-,,,,,012_BKN_Image_1,06_NetsLogosStaticWhite,\012_BKN_Image_1\06_NetsLogosStaticWhite\064_NetsLogosStaticWhite_RIB_F_v01.mov,-,nclc,nclc,34,94791034,9504,144,66.000,CFR,29.970,411600,-,-,-,-,-,-,-,-,
,,068_NetsLogosStaticWhite_SCB_v01.mov,1,,1,012,068,017,SCB,0.03s,,-,,,,,012_BKN_Image_1,06_NetsLogosStaticWhite,\012_BKN_Image_1\06_NetsLogosStaticWhite\068_NetsLogosStaticWhite_SCB_v01.mov,-,nclc,nclc,34,213235351,1920,1080,1.778,CFR,29.970,908296,-,-,-,-,-,-,-,-,
,07_NetsLogosStaticBlack,071_NetsLogosStaticBlack_AUD_F_v01.mov,1,,1,012,071,001,AUD_F,0.03s,,-,,,,,012_BKN_Image_1,07_NetsLogosStaticBlack,\012_BKN_Image_1\07_NetsLogosStaticBlack\071_NetsLogosStaticBlack_AUD_F_v01.mov,-,nclc,nclc,34,94411494,2540,400,6.350,CFR,29.970,412699,-,-,-,-,-,-,-,-,
,,074_NetsLogosStaticBlack_RIB_F_v01.mov,1,,1,012,074,010,RIB_F,0.03s,,-,,,,,012_BKN_Image_1,07_NetsLogosStaticBlack,\012_BKN_Image_1\07_NetsLogosStaticBlack\074_NetsLogosStaticBlack_RIB_F_v01.mov,-,nclc,nclc,34,91697651,9504,144,66.000,CFR,29.970,398698,-,-,-,-,-,-,-,-,
,,078_NetsLogosStaticBlack_SCB_v01.mov,1,,1,012,078,017,SCB,0.03s,,-,,,,,012_BKN_Image_1,07_NetsLogosStaticBlack,\012_BKN_Image_1\07_NetsLogosStaticBlack\078_NetsLogosStaticBlack_SCB_v01.mov,-,nclc,nclc,34,138167934,1920,1080,1.778,CFR,29.970,595202,-,-,-,-,-,-,-,-,
,08_NetsvsBlazersWhite,081_NetsvsBlazersWhite_AUD_F_v01.mov,1,,1,012,081,001,AUD_F,30s,,-,,,,,012_BKN_Image_1,08_NetsvsBlazersWhite,\012_BKN_Image_1\08_NetsvsBlazersWhite\081_NetsvsBlazersWhite_AUD_F_v01.mov,-,nclc,nclc,30030,1173257114,10160,1600,6.350,CFR,29.970,4404162080,-,-,-,-,-,-,-,-,
,,084_NetsvsBlazersWhite_RIB_F_v01.mov,1,,1,012,084,010,RIB_F,30s,,-,,,,,012_BKN_Image_1,08_NetsvsBlazersWhite,\012_BKN_Image_1\08_NetsvsBlazersWhite\084_NetsvsBlazersWhite_RIB_F_v01.mov,-,nclc,nclc,30030,71869948,9504,144,66.000,CFR,29.970,269825882,-,-,-,-,-,-,-,-,
,,088_NetsvsBlazersWhite_SCB_v01.mov,1,,1,012,088,017,SCB,30s,,-,,,,,012_BKN_Image_1,08_NetsvsBlazersWhite,\012_BKN_Image_1\08_NetsvsBlazersWhite\088_NetsvsBlazersWhite_SCB_v01.mov,-,nclc,nclc,30030,153887480,1920,1080,1.778,CFR,29.970,577699484,-,-,-,-,-,-,-,-,
,09_NetsvsBlazersBlack,091_NetsvsBlazersBlack_AUD_F_v01.mov,1,,1,012,091,001,AUD_F,30s,,-,,,,,012_BKN_Image_1,09_NetsvsBlazersBlack,\012_BKN_Image_1\09_NetsvsBlazersBlack\091_NetsvsBlazersBlack_AUD_F_v01.mov,-,nclc,nclc,30030,1010133988,10160,1600,6.350,CFR,29.970,3791838044,-,-,-,-,-,-,-,-,
,,094_NetsvsBlazersBlack_RIB_F_v01.mov,1,,1,012,094,010,RIB_F,30s,,-,,,,,012_BKN_Image_1,09_NetsvsBlazersBlack,\012_BKN_Image_1\09_NetsvsBlazersBlack\094_NetsvsBlazersBlack_RIB_F_v01.mov,-,nclc,nclc,30030,70402807,9504,144,66.000,CFR,29.970,264318595,-,-,-,-,-,-,-,-,
,,098_NetsvsBlazersBlack_SCB_v01.mov,1,,1,012,098,017,SCB,30s,,-,,,,,012_BKN_Image_1,09_NetsvsBlazersBlack,\012_BKN_Image_1\09_NetsvsBlazersBlack\098_NetsvsBlazersBlack_SCB_v01.mov,-,nclc,nclc,30030,141093035,1920,1080,1.778,CFR,29.970,529672307,-,-,-,-,-,-,-,-,
