LA CLIPPERS Media Delivery,,SYNC ACTIVE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Content Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Kerstin Notes,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,Audio Format,Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,084_Defense_RIB_F_v00.mov,0,,0,070,084,010,RIB_F,10s,,-,,,,,070_LAC_PCC,08_Defense,\070_LAC_PCC\08_Defense\084_Defense_RIB_F_v00.mov,-,nclc,nclc,10010,238045571,9504,144,66.000,CFR,29.970,299780336,PCM,Little / Signed,sowt,10011,2,L R,48000,16
,,088_Defense_SCB_v00.mov,0,,,070,088,017,SCB,29.37s,,-,,,,7/22/2020,070_LAC_PCC,08_Defense,\070_LAC_PCC\08_Defense\088_Defense_SCB_v00.mov,-,nclc,nclc,29397,566728547,1920,1080,1.778,CFR,29.970,2082456215,-,-,-,-,-,-,-,-
071_LAC_FERA,00_NationalAnthemJasmineVillegas,000_NationalAnthemJasmineVillegas_AUDIO_v00.mov,0,,,071,000,024,AUDIO,,,-F,,,,7/22/2020,071_LAC_FERA,00_NationalAnthemJasmineVillegas,\071_LAC_FERA\00_NationalAnthemJasmineVillegas\000_NationalAnthemJasmineVillegas_AUDIO_v00.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,008_NationalAnthemJasmineVillegas_SCB_v01.mov,1,V01 STILL WRONG REJECTED - Wrong Codec,,071,008,017,SCB,1m36.57s,,-C,,,,7/22/2020,071_LAC_FERA,00_NationalAnthemJasmineVillegas,\071_LAC_FERA\00_NationalAnthemJasmineVillegas\008_NationalAnthemJasmineVillegas_SCB_v01.mov,-C,ProRes,apcs,96663,78776737,1920,1080,1.778,CFR,29.970,971460640,PCM,Little / Signed,sowt,96663,2,L R,48000,16
,01_NationalAnthemTinashe,010_NationalAnthemTinashe_AUDIO_v00.mov,,,,071,010,024,AUDIO,,,-F,,,,,071_LAC_FERA,01_NationalAnthemTinashe,\071_LAC_FERA\01_NationalAnthemTinashe\010_NationalAnthemTinashe_AUDIO_v00.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,018_NationalAnthemTinashe_SCB_v00.mov,,V01 STILL WRONG REJECTED - Wrong Codec,,071,018,017,SCB,,,-F,,,,,071_LAC_FERA,01_NationalAnthemTinashe,\071_LAC_FERA\01_NationalAnthemTinashe\018_NationalAnthemTinashe_SCB_v00.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,02_NationalAnthemJulesAurora,020_NationalAnthemJulesAurora_AUDIO_v00.mov,,,,071,020,024,AUDIO,,,-F,,,,,071_LAC_FERA,02_NationalAnthemJulesAurora,\071_LAC_FERA\02_NationalAnthemJulesAurora\020_NationalAnthemJulesAurora_AUDIO_v00.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,028_NationalAnthemJulesAurora_SCB_v00.mov,,V01 STILL WRONG REJECTED - Wrong Codec,,071,028,017,SCB,,,-F,,,,,071_LAC_FERA,02_NationalAnthemJulesAurora,\071_LAC_FERA\02_NationalAnthemJulesAurora\028_NationalAnthemJulesAurora_SCB_v00.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,03_NationalAnthemDSharp,030_NationalAnthemDSharp_AUDIO_v00.mov,,"SCB file WRONG CODE, check media delivery ",,071,030,024,AUDIO,1m54.03s,,-,,,,,071_LAC_FERA,03_NationalAnthemDSharp,\071_LAC_FERA\03_NationalAnthemDSharp\030_NationalAnthemDSharp_AUDIO_v00.mov,-,nclc,nclc,114148,261043415,1920,1080,1.778,CFR,29.970,3746812897,PCM,Little / Signed,sowt,114148,2,L R,48000,16
,,038_NationalAnthemDSharp_SCB_v00.mov,,,,071,038,017,SCB,1m54.03s,,-C,,,,,071_LAC_FERA,03_NationalAnthemDSharp,\071_LAC_FERA\03_NationalAnthemDSharp\038_NationalAnthemDSharp_SCB_v00.mov,-C,ProRes,apcs,114147,94712292,1920,1080,1.778,CFR,29.970,1374361068,PCM,Little / Signed,sowt,114147,2,L R,48000,16
,,,,,,,,,,,,-,,,,,071_LAC_FERA,03_NationalAnthemDSharp,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
072_LAC_Image_1,,,,,,,,,,,,-,,,,,072_LAC_Image_1,03_NationalAnthemDSharp,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
073_LAC_Image_2,,,,,,,,,,,,-,,,,,073_LAC_Image_2,03_NationalAnthemDSharp,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
074_LAC_Video,00_OpenVideo,000_OpenVideo_AUDIO_v00.mov,0,Wrong Frame rate,0,074,000,024,AUDIO,,,-F,,,,,074_LAC_Video,00_OpenVideo,\074_LAC_Video\00_OpenVideo\000_OpenVideo_AUDIO_v00.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,001_OpenVideo_AUD_N_v00.mov,0,Wrong Frame rate,0,074,001,002,AUD_N,,,-F,,,,,074_LAC_Video,00_OpenVideo,\074_LAC_Video\00_OpenVideo\001_OpenVideo_AUD_N_v00.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,002_OpenVideo_AUD_S_v00.mov,0,Wrong Frame rate,0,074,002,003,AUD_S,,,-F,,,,,074_LAC_Video,00_OpenVideo,\074_LAC_Video\00_OpenVideo\002_OpenVideo_AUD_S_v00.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,003_OpenVideo_AUD_C_v00.mov,0,Wrong Frame rate,0,074,003,004,AUD_C,,,-F,,,,,074_LAC_Video,00_OpenVideo,\074_LAC_Video\00_OpenVideo\003_OpenVideo_AUD_C_v00.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,004_OpenVIdeo_RIB_F_v00.mov,0,Wrong Frame rate,0,074,004,010,RIB_F,,,-F,,,,,074_LAC_Video,00_OpenVideo,\074_LAC_Video\00_OpenVideo\004_OpenVIdeo_RIB_F_v00.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,008_OpenVideo_SCB_v00.mov,0,Wrong Frame rate,0,074,008,017,SCB,,,-F,,,,,074_LAC_Video,00_OpenVideo,\074_LAC_Video\00_OpenVideo\008_OpenVideo_SCB_v00.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
075_LAC_Misc,00_ClippersBall,001_ClippersBall_AUD_F_v00.mov,0,,0,075,001,001,AUD_F,10s,,-,,,,,075_LAC_Misc,00_ClippersBall,\075_LAC_Misc\00_ClippersBall\001_ClippersBall_AUD_F_v00.mov,-,nclc,nclc,10010,3224204644,10160,1600,6.350,CFR,29.970,4034293171,-,-,-,-,-,-,-,-
,,004_ClippersBall_RIB_F_v00.mov,0,,0,075,004,010,RIB_F,10s,,-,,,,,075_LAC_Misc,00_ClippersBall,\075_LAC_Misc\00_ClippersBall\004_ClippersBall_RIB_F_v00.mov,-,nclc,nclc,10010,236461299,9504,144,66.000,CFR,29.970,295875572,-,-,-,-,-,-,-,-
,,008_ClippersBall_SCB_v00.mov,0,,0,075,008,017,SCB,10s,,-,,,,,075_LAC_Misc,00_ClippersBall,\075_LAC_Misc\00_ClippersBall\008_ClippersBall_SCB_v00.mov,-,nclc,nclc,10010,569370593,1920,1080,1.778,CFR,29.970,712428743,-,-,-,-,-,-,-,-
,01_LACStartingLineups,011_LACStartingLineup_AUD_F_v01.mov,1,,0,075,011,001,AUD_F,10s,,-,,,,7/22/2020,075_LAC_Misc,01_LACStartingLineups,\075_LAC_Misc\01_LACStartingLineups\011_LACStartingLineup_AUD_F_v01.mov,-,nclc,nclc,10010,2032789402,10160,1600,6.350,CFR,29.970,2543533359,-,-,-,-,-,-,-,-
